revenue,net profit,operating profit,interest revenue,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment for employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
36293000,-565991000,-565991000,,273959000.0,1941673000.0,4720377000.0,,32584000.0,32613000.0,7429682000.0,,53466000.0,9371355000.0,2673625000.0,4650978000.0,1474500.0,805292000.0,1474500.0,-249033000,-51557000,300786000,,,335110000,331436000,,,,226623000.0,,,163405000.0,,270471000,201603,ANDACOR
0,0,0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2.0,2.0,0,0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0,201603,ANDACOR
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201603,ANDACOR
459113133000.0,33535834000.0,33535834000.0,2758171000.0,86811651000.0,486117635000.0,1250225103000.0,102589274000.0,8884085000.0,20354173000.0,1614436118000.0,96875548000.0,667366101000.0,2100553753000.0,300224425000.0,828850337000.0,946570604.0,134715644000.0,946578736.0,31843615000.0,-48566847000.0,-22785191000.0,,,415153784000.0,57105641000.0,6082000.0,16897064000.0,-2840865000.0,112640605000.0,7261453000.0,,23776429000.0,53144681000.0,66225334000.0,201603,ANDINA-A
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,201603,ANDINA-A
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,ANDINA-A
459113133000.0,33535834000.0,33535834000.0,2758171000.0,86811651000.0,486117635000.0,1250225103000.0,102589274000.0,8884085000.0,20354173000.0,1614436118000.0,96875548000.0,667366101000.0,2100553753000.0,300224425000.0,828850337000.0,946570604.0,134715644000.0,946578736.0,31843615000.0,-48566847000.0,-22785191000.0,,,415153784000.0,57105641000.0,6082000.0,16897064000.0,-2840865000.0,112640605000.0,7261453000.0,,23776429000.0,53144681000.0,66225334000.0,201603,ANDINA-B
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,201603,ANDINA-B
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,ANDINA-B
459113133000.0,33535834000.0,33535834000.0,2758171000.0,86811651000.0,486117635000.0,1250225103000.0,102589274000.0,8884085000.0,20354173000.0,1614436118000.0,96875548000.0,667366101000.0,2100553753000.0,300224425000.0,828850337000.0,946570604.0,134715644000.0,946578736.0,31843615000.0,-48566847000.0,-22785191000.0,,,415153784000.0,57105641000.0,6082000.0,16897064000.0,-2840865000.0,112640605000.0,7261453000.0,,23776429000.0,53144681000.0,66225334000.0,201603,ANDINA
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,201603,ANDINA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,ANDINA
3801233000.0,142225000.0,142225000.0,25411000.0,1907874000.0,5505975000.0,10548101000.0,172489000.0,201627000.0,7348000.0,15475844000.0,173464000.0,645732000.0,20981819000.0,2165174000.0,6215212000.0,456376483.0,1395714000.0,456376483.0,380295000.0,-182430000.0,6466000.0,,,3752490000.0,183996000.0,3035000.0,6645000.0,35561000.0,1072745000.0,,,406136000.0,726357000.0,,201603,ANTARCHILE
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,201603,ANTARCHILE
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,201603,ANTARCHILE
158721000.0,-29536000.0,-29536000.0,173000.0,43312000.0,308358000.0,456115000.0,,2698000.0,829000.0,440253000.0,53247000.0,41053000.0,748611000.0,437999000.0,286184000.0,1157000000.0,69657000.0,1157000000.0,39718000.0,-3124000.0,-1733000.0,,,163753000.0,12970000.0,,,-995000.0,33619000.0,,,5165000.0,14573000.0,,201603,AQUACHILE
1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,201603,AQUACHILE
