Ticker,Name
ORO BLANCO,Sociedad de Inversiones Oro Blanco S.A.
OXIQUIM,Oxiquim S.A.
PARAUCO,Parque Arauco S.A.
PASUR,"Forestal, Constructora y Comercial del Pacifico Sur S.A."
PAZ,Paz Corp S.A.
PEHUENCHE,Empresa Electrica Pehuenche S.A.
PLANVITAL,Administradora de Fondos de Pensiones Planvital S.A.
POLO,Club de Polo y Equitacion San Cristobal S.A.
POLPAICO,Cemento Polpaico S.A.
POTASIOS,Potasios de Chile S.A.
PREVISION,Seguros Vida Security Prevision S.A.
PROVIDA,Administradora de Fondos de Pensiones Provida S.A.
PUCOBRE,Sociedad Punta del Cobre S.A.
PUERTO,Puertos y Logistica S.A.
PUNTILLA,Electrica Puntilla S.A.
QUEMCHI,Quemchi S.A.
QUILICURA,Quilicura S.A.
QUINENCO,Quinenco S.A.
REBRISA,Rebrisa S.A.
RIPLEY,Ripley Corp S.A.
SALFACORP,Salfacorp S.A.
SALMOCAM,Salmones Camanchaca S.A.
SANTA RITA,Sociedad Anonima Vina Santa Rita 
SANTANA,Santana S.A.
SCHWAGER,Schwager Energy S.A.
SCOTIABKCL,Scotiabank Chile
SECURITY,Grupo Security S.A.
SIEMEL,Inversiones Siemel S.A.
SIPSA,Sipsa S.A.
SIXTERRA,Inmobliaria Sixterra S.A.
SK,Sigdo Koppers S.A.
SMSAAM,Sociedad Matriz SAAM S.A.
SMU,SMU S.A.
SOCOVESA,Socovesa S.A.
SOFRUCO,Sociedad Agricola La Rosa Sofruco S.A.
SONDA,Sonda S.A.
SOPROCAL,"Soprocal, Calerias e Industrias S.A."
SOQUICOM,Soquimich Comercial S.A.
SPORTFRAN,Sociedad Anonima Inmobiliaria Sport Francais
SPORTING,Valparaiso Sporting Club S.A.
SQM,Sociedad Quimica y Minera de Chile S.A.
STADITALIA,Inmobiliaria Stadio Italiano S.A.
TRICAHUE,Inversiones Tricahue S.A.
TRICOT,Empresas Tricot S.A.
UNESPA,Inversiones Unespa S.A.
UNION GOLF,Union El Golf S.A.
VALORES,"Bolsa de Corredores, Bolsa de Valores, en Liquidacion"
VAPORES,Compania Sud Americana de Vapores S.A.
VENTANAS,Puerto Ventanas S.A.
VICONTO,Fruticola Viconto S.A.
VOLCAN,Compania Industrial El Volcan S.A.
VSPT,Vina San Pedro-Tarapaca S.A.
WATTS,Watt's S.A.
YUGOSLAVA,Inmobiliaria Yugoslava S.A.
ZOFRI,Zona Franca de Iquique S.A.
