revenue,net profit,operating profit,non-controlling profit,eps,operating-eps,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
15347275000.0,788954000.0,788954000.0,1487000.0,0.6659999999999999,0.6659999999999999,,39356168000.0,,,30782043000.0,1833716000.0,,11707221000.0,10548154000.0,860284000.0,201846000.0,163035000.0,441841000.0,24932269000.0,19757846000.0,,126627000.0,410012000.0,22050791000.0,,81114000.0,46983060000.0,18222943000.0,27221555000.0,1181420348.0,12579671000.0,1181420348.0,1654211000.0,-148017000.0,-2088201000.0,,,30782043000.0,4973455000.0,,,1909000.0,11558379000.0,,,327282000.0,113740000.0,2224692000.0,201506,CIC
10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,201506,CIC
49206120000.0,1493987200.0,1493987200.0,,1972000.0,1972000.0,205309600.0,124767628800.0,,,100150174400.0,,,75042552800.0,42393780800.0,2175069600.0,2007640000.0,1743995200.0,25666730400.0,193492555200.0,152212446400.0,728053600.0,1312163200.0,1404590400.0,95174257600.0,137883200.0,44698400.0,288666812800.0,131214804800.0,136454366400.0,439817195.0,104789716800.0,439817195.0,16561893600.0,1184886400.0,-14692894400.0,,,100150174400.0,6103983200.0,2297800800.0,1317466400.0,-827299200.0,38391380000.0,,,4639542400.0,,3347834400.0,201506,CINTAC
10.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,10.0,201506,CINTAC
4834000.0,-2712000.0,-2712000.0,,,,,,,,,,,,2694000.0,-2712000.0,2694000.0,,452000.0,452000.0,568000.0,,,,371598000.0,,,372050000.0,568000.0,371482000.0,9000.0,,9000.0,,7000.0,,,,,,,,,,,,,,,201506,CLUBUNION
10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,201506,CLUBUNION
899412113600.0,20940064000.0,20940064000.0,30304000.0,,0.011,5044858400.0,1990832644000.0,,,1523368443200.0,55814664800.0,,467439957600.0,727711922400.0,24306838400.0,64684645600.0,68243850400.0,457624492000.0,2304332827200.0,5099304839200.0,30536583200.0,8571486400.0,32660893600.0,8930149392000.0,88754355200.0,12003414400.0,11234482219200.0,767636684800.0,6132625783200.0,2500000000.0,802659017600.0,2500000000.0,278559671200.0,-393436074400.0,-249061757600.0,,,1523368443200.0,161310464800.0,140913600.0,12035233600.0,-9544244800.0,605692108800.0,9214688800.0,,22817396800.0,115232475200.0,96744762400.0,201506,CMPC
10.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,201506,CMPC
271568538400.0,37955760000.0,37955760000.0,,,0.00286,1567474400.0,581461030400.0,57577600.0,,362086586400.0,8782099200.0,,83554188800.0,,49659922400.0,36655718400.0,30219906400.0,672290452000.0,976100173600.0,2248261336000.0,20472624800.0,17906633600.0,5078192800.0,3850030772800.0,,65233905600.0,4826130946400.0,169481180800.0,2577869610400.0,17536167720.0,65830136800.0,17536167720.0,177692049600.0,384525940800.0,-82392788000.0,,,362086586400.0,25494755200.0,,40515690400.0,-33334400.0,113738488000.0,981849600.0,,732599200.0,63488395200.0,11216268000.0,201506,COLBUN
10.0,10.0,10.0,12.0,12.0,10.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,201506,COLBUN
3683427000.0,-1205672000.0,-1205672000.0,-262770000.0,,,,9409412000.0,,,6287585000.0,8914000.0,,2198475000.0,3280249000.0,-1697914000.0,1057193000.0,,544947000.0,3610497000.0,21921419000.0,421902000.0,,,39590450000.0,,17363538000.0,43200947000.0,2533613000.0,18428823000.0,100000000.0,,100000000.0,762068000.0,-903432000.0,,,,6287585000.0,2350845000.0,,,,1268496000.0,21720000.0,,486147000.0,58800000.0,,201506,COLO COLO
10.0,10.0,10.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,201506,COLO COLO
157610082000.0,10160763000.0,10160763000.0,150990000.0,,,420671000.0,230489182000.0,,,180281802000.0,,,126167216000.0,99501439000.0,14464262000.0,9452076000.0,4955653000.0,16231551000.0,503135368000.0,519952712000.0,7157689000.0,21521639000.0,10017287000.0,463247945000.0,25553035000.0,37767369000.0,966383313000.0,254070681000.0,445141576000.0,747005982.0,280617086000.0,747005982.0,14916534000.0,-10841237000.0,-18956710000.0,,,180281802000.0,31946402000.0,148332000.0,,808810000.0,134638316000.0,,,15962915000.0,,31243140000.0,201506,CONCHATORO
10.0,10.0,10.0,10.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,201506,CONCHATORO
3748394944800.0,154035989600.0,154035989600.0,7854039200.0,,,-110426260800.0,7818457000800.0,2372803200.0,,6827518473600.0,117468152800.0,,1069950146400.0,3115301959200.0,211779504000.0,231180124800.0,,1120660860000.0,4241285716800.0,8185425561600.0,122112998400.0,168497816000.0,5375929600.0,11716547644800.0,144600081600.0,556739784800.0,15957833361600.0,1935788458400.0,7351018558400.0,1299853848.0,1145631356000.0,1299853848.0,521474262400.0,-346680032800.0,-557454201600.0,,,6827518473600.0,291822216800.0,3860729600.0,160049060800.0,-21930247200.0,1152484605600.0,,,293132864800.0,406287243200.0,,201506,COPEC
10.0,10.0,10.0,10.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,12.0,201506,COPEC
123229692000.0,2210130000.0,2210130000.0,420974000.0,,,,173172176000.0,,,156648210000.0,,,93799142000.0,107007110000.0,1602950000.0,1432065000.0,-5971608000.0,11981569000.0,241868311000.0,250548908000.0,1550874000.0,,626956000.0,61167637000.0,,1022976000.0,303035948000.0,173074421000.0,40884547000.0,31219070.0,100054827000.0,31219070.0,1883108000.0,-2264136000.0,7958627000.0,,,156648210000.0,8669251000.0,,632922000.0,,121383430000.0,,,,,,201506,COPEVAL
11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,201506,COPEVAL
340609000.0,313306000.0,313306000.0,,13.56,13.56,,,,,6702000.0,,,508495000.0,12169000.0,304723000.0,,,966000.0,101658000.0,2838865000.0,44779000.0,,,12293084000.0,,,12394742000.0,510247000.0,9555877000.0,23100000.0,,23100000.0,-90189000.0,,,,,6702000.0,34944000.0,,,,,,,966000.0,,5490000.0,201506,COVADONGA
10.0,10.0,10.0,12.0,10.0,10.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,10.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,12.0,10.0,201506,COVADONGA
64114314000.0,7216759000.0,7216759000.0,1347132000.0,92.0,92.0,747500000.0,142944372000.0,,,89838448000.0,8979042000.0,,39400682000.0,40320770000.0,7934805000.0,4520999000.0,3397925000.0,29419629000.0,203116366000.0,164261580000.0,466446000.0,1602991000.0,3051426000.0,254153707000.0,3210098000.0,6681727000.0,457270073000.0,58352360000.0,231631056000.0,64000000.0,88679383000.0,64000000.0,17475413000.0,5880116000.0,-32258740000.0,,,89838448000.0,19331091000.0,25378000.0,13664419000.0,63397000.0,70759811000.0,244568000.0,,4832883000.0,1401686000.0,,201506,CRISTALES
10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,12.0,201506,CRISTALES
2875631000.0,631707000.0,631707000.0,,,,,3663988000.0,,,2021287000.0,9529000.0,,2649784000.0,2233303000.0,824259000.0,15222000.0,,82531000.0,3804330000.0,3447896000.0,1169421000.0,,,10618425000.0,,8425653000.0,14422755000.0,3056444000.0,10974859000.0,50000000.0,56765000.0,50000000.0,449499000.0,-547870000.0,64760000.0,,,2021287000.0,2151444000.0,,,,2473023000.0,,,,,942179000.0,201506,CRUZADOS
10.0,10.0,10.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,201506,CRUZADOS
176692874000.0,5825196000.0,5825196000.0,1203443000.0,4.83,4.83,2510793000.0,551701835000.0,,,312974012000.0,50039116000.0,,128089153000.0,117798526000.0,9392664000.0,49960358000.0,5740535000.0,97681846000.0,330939576000.0,859067538000.0,3921001000.0,22831282000.0,5304099000.0,1201994061000.0,21660128000.0,51729136000.0,1532933637000.0,239056272000.0,662671323000.0,957157085.0,16333778000.0,957157085.0,107040257000.0,-104948934000.0,-25048190000.0,,,312974012000.0,77248506000.0,,12443042000.0,,128847548000.0,,,8711354000.0,,18514482000.0,201506,CTC
10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,12.0,12.0,10.0,12.0,10.0,201506,CTC
-7247058000.0,-103599822000.0,-103599822000.0,-6190946000.0,-95.95662,-95.95662,,,,,114340000.0,,,3554000.0,5678000.0,-103702234000.0,,-1590234000.0,3446583000.0,8736603000.0,265230021000.0,,,,590409193000.0,,4260000.0,599145796000.0,19086789000.0,297166784000.0,1212465686.0,,1212465686.0,-196565000.0,-1459514000.0,-2896803000.0,,,114340000.0,,,,,,,,4108000.0,3442475000.0,,201506,CVA
10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,201506,CVA
33927065000.0,2728863000.0,2728863000.0,231303000.0,24.98,24.98,,82278061000.0,,,76084916000.0,261694000.0,,15309812000.0,23726964000.0,4023457000.0,1202888000.0,697223000.0,5257205000.0,88307480000.0,73563122000.0,20871020000.0,183070000.0,1168394000.0,149239797000.0,468643000.0,337969000.0,237547277000.0,33328657000.0,152220702000.0,100000000.0,32182153000.0,100000000.0,-189416000.0,420982000.0,-4363916000.0,,,76084916000.0,9539931000.0,81136000.0,7025782000.0,812027000.0,28464055000.0,,,1259580000.0,3821509000.0,4984645000.0,201506,DUNCANFOX
10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,201506,DUNCANFOX
213658352000.0,13920900000.0,13920900000.0,503046400.0,,,,521937156000.0,,,310676608000.0,,,135791466400.0,171413060800.0,24818976000.0,23911371200.0,,177578409600.0,465142914400.0,927945602400.0,565927200.0,30371426400.0,6484298400.0,1835392821600.0,19015002400.0,226148903200.0,2300535736000.0,180308042400.0,1295300539200.0,1053309776.0,132098924000.0,1053309776.0,144236433600.0,-150822250400.0,-19882454400.0,,,310676608000.0,20297619200.0,,19882454400.0,633353600.0,85504251200.0,90154400.0,,10370028800.0,,,201506,ECL
10.0,10.0,10.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,12.0,12.0,201506,ECL
9868100000.0,1516184000.0,1516184000.0,12930000.0,115.0,115.0,,20289550000.0,,,10370154000.0,1515355000.0,,2394271000.0,6771079000.0,1924949000.0,1253144000.0,236498000.0,4279316000.0,9181944000.0,27835132000.0,,35286000.0,,60277043000.0,,80709000.0,69458987000.0,4925592000.0,41455760000.0,13081284.0,299294000.0,13081284.0,5697058000.0,-1926378000.0,-2934099000.0,,,10370154000.0,2322091000.0,,1896730000.0,7302000.0,2967691000.0,,,682015000.0,,1144370000.0,201506,EDELMAG
10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,10.0,201506,EDELMAG
10802389000.0,-130483000.0,-130483000.0,-9000.0,,,,22867934000.0,,,18152057000.0,,,8055341000.0,9606440000.0,-155669000.0,840538000.0,514325000.0,223075000.0,22566122000.0,32470972000.0,390357000.0,,41828000.0,43358604000.0,873358000.0,2582085000.0,65924726000.0,13005148000.0,33453710000.0,113589915.0,10040110000.0,113589915.0,1399960000.0,-494312000.0,-839508000.0,,,18152057000.0,3254282000.0,,113590000.0,-57011000.0,10861064000.0,,,154157000.0,66000000.0,,201506,EDELPA
10.0,10.0,10.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,12.0,201506,EDELPA
101816733000.0,3159854000.0,3159854000.0,761320000.0,,,,107669621000.0,,,71627465000.0,2719212000.0,,41648032000.0,86824417000.0,4553414000.0,2389593000.0,,13918829000.0,152301545000.0,96858420000.0,,21185000.0,,52058874000.0,3935843000.0,4562007000.0,204360419000.0,76548611000.0,99020933000.0,600801906.0,35708851000.0,605364800.0,-11787768000.0,-4002627000.0,6560777000.0,,,71627465000.0,43390321000.0,513145000.0,,,25745046000.0,3231939000.0,,5095676000.0,6543617000.0,,201506,EISA
11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,201506,EISA
159000084000.0,10168838000.0,10168838000.0,3212241000.0,159.0,159.0,938857000.0,325108749000.0,,,246779285000.0,9226441000.0,,94543837000.0,120583798000.0,13332353000.0,6361237000.0,6171926000.0,51067776000.0,403413104000.0,376105103000.0,466446000.0,2850205000.0,7018140000.0,407309366000.0,4644683000.0,9935330000.0,810722470000.0,146280094000.0,304989417000.0,43800000.0,180099310000.0,43800000.0,18425560000.0,-24251661000.0,-26280063000.0,,,246779285000.0,39770449000.0,29578000.0,22581197000.0,1237739000.0,141099359000.0,4844649000.0,,11737603000.0,5103004000.0,,201506,ELECMETAL
10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,12.0,201506,ELECMETAL
160301393000.0,11873167000.0,11873167000.0,21892000.0,39.95,39.95,,182764540000.0,,,137457512000.0,3477835000.0,,54735572000.0,113368500000.0,15632442000.0,5328810000.0,,18949890000.0,170468641000.0,131411667000.0,2004292000.0,9641412000.0,2303132000.0,286995119000.0,152755517000.0,37899428000.0,457463760000.0,96119418000.0,325875983000.0,296633147.0,51447017000.0,296633147.0,19400440000.0,-7721919000.0,-3146769000.0,,,137457512000.0,16503353000.0,,,-33344000.0,71689264000.0,,,5751880000.0,3659700000.0,22441950000.0,201506,ELUXSA
11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,12.0,12.0,10.0,10.0,11.0,201506,ELUXSA
105069055000.0,1100605000.0,1100605000.0,-242000.0,2.15,2.15,,337994347000.0,,,232103504000.0,42804978000.0,,46460061000.0,63208834000.0,4154804000.0,6318340000.0,4770667000.0,33296773000.0,133116334000.0,282038439000.0,1580190000.0,2909649000.0,3820212000.0,466799700000.0,144477536000.0,588685000.0,599916034000.0,101878500000.0,317867933000.0,510853230.0,49133647000.0,510853230.0,38693470000.0,-22599892000.0,-42196238000.0,,,232103504000.0,20272542000.0,8816000.0,21965422000.0,1431764000.0,26733802000.0,,,19764670000.0,,7798290000.0,201506,EMBONOR
10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,10.0,201506,EMBONOR
4582884000.0,513747000.0,513747000.0,-5000.0,0.2328,0.2328,,10866193000.0,,,10627925000.0,143442000.0,,4268337000.0,3121005000.0,532939000.0,154910000.0,16620000.0,452493000.0,21402137000.0,14864809000.0,179995000.0,268017000.0,296958000.0,22444978000.0,,856978000.0,43847115000.0,9589647000.0,28982284000.0,636428572.0,13910574000.0,636428572.0,-416445000.0,40443000.0,394526000.0,,,10627925000.0,1812861000.0,708220000.0,,1804000.0,4746520000.0,93540000.0,,392170000.0,,925928000.0,201506,EMILIANA
10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,201506,EMILIANA
144595536000.0,19712752000.0,19712752000.0,-50001600.0,,0.212,,317654104000.0,,,237940947200.0,,,48821259200.0,104224547200.0,25551575200.0,5824428800.0,2158402400.0,128741998400.0,353551464800.0,399698396000.0,,,13075418400.0,448020396800.0,29283512800.0,40645240000.0,801571861600.0,213548500000.0,401116623200.0,123000.0,77116104000.0,123000.0,39853548000.0,-68087027200.0,89146792000.0,,,237940947200.0,30894928000.0,161368800.0,,128792000.0,128682905600.0,6893402400.0,,2687207200.0,107206460800.0,25977346400.0,201506,ENAEX
10.0,10.0,10.0,10.0,12.0,10.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,201506,ENAEX
1723004517000.0,230056891000.0,230056891000.0,95123783000.0,2.749,2.749,,4272577726000.0,8104240000.0,,2372420889000.0,828307044000.0,,1755232816000.0,,346042906000.0,114046370000.0,,966655431000.0,3232911685000.0,6959260123000.0,89945018000.0,185444471000.0,,11975910653000.0,1372534891000.0,1120680679000.0,15208822338000.0,2606711402000.0,6158430595000.0,49092772762.0,136301024000.0,49092772762.0,690908563000.0,-687303331000.0,-732183084000.0,,,2372420889000.0,285869652000.0,7100000.0,532035365000.0,-9541910000.0,1292885242000.0,,,93636274000.0,389836984000.0,152777758000.0,201506,ENELAM
10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,10.0,201506,ENELAM
303404240000.0,56479111000.0,89283480000.0,17000.0,49.08,49.08,,731807628000.0,,,597746805000.0,,,111284991000.0,,108060355000.0,7164276000.0,,10341333000.0,301067771000.0,237930784000.0,27975000.0,8567296000.0,,1201876244000.0,2240478000.0,13567516000.0,1502944015000.0,181703652000.0,1265009123000.0,1150742161.0,3120163000.0,1150742161.0,69139936000.0,-17277260000.0,-19300916000.0,,,597746805000.0,17874401000.0,,26986966000.0,62980000.0,239655856000.0,,,10136410000.0,,7457353000.0,201506,ENELDXCH
10.0,10.0,11.0,11.0,10.0,10.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,12.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,10.0,201506,ENELDXCH
1267397072000.0,195605807000.0,195605807000.0,105034924000.0,,,,1519108788000.0,8104240000.0,,867343284000.0,21450594000.0,,571353750000.0,,299828868000.0,112483692000.0,,60910947000.0,841125418000.0,3609301825000.0,1675522000.0,35758867000.0,,6245212190000.0,124535521000.0,54221334000.0,7086337608000.0,1274185221000.0,2628959156000.0,8201754580.0,64955853000.0,8201754580.0,318512079000.0,-286791243000.0,-310956293000.0,,,867343284000.0,63703166000.0,7100000.0,319479823000.0,3487899000.0,404253293000.0,,,34866514000.0,,74884933000.0,201506,ENELGXCH
11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,12.0,10.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,201506,ENELGXCH
50569928000.0,-610056000.0,-610056000.0,565653000.0,0.74,0.74,,146214675000.0,,,86846895000.0,12831849000.0,,26399763000.0,41254995000.0,-696039000.0,14555923000.0,9257006000.0,22584963000.0,80401359000.0,425320386000.0,,4469108000.0,337745000.0,516302886000.0,3310727000.0,86461086000.0,596704245000.0,100254974000.0,137877735000.0,2357459928.0,2722798000.0,2357459928.0,12217439000.0,-1139236000.0,-9337467000.0,,,86846895000.0,33559962000.0,,2243563000.0,-97332000.0,16451083000.0,,,15298257000.0,,33655965000.0,201506,ENJOY
10.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,201506,ENJOY
18505137600.0,1212917600.0,1212917600.0,,,,12879200.0,35201884000.0,,,32460887200.0,,,3996340000.0,15684592800.0,2015973600.0,1251555200.0,1082610400.0,2672812800.0,15818688000.0,51386492800.0,,1836422400.0,,91202918400.0,,6818400.0,107021606400.0,12816319200.0,55635113600.0,43762312.0,1824300800.0,43762312.0,-206067200.0,131064800.0,748508800.0,,,32460887200.0,871240000.0,,,60608000.0,9355602400.0,106821600.0,,568200000.0,582594400.0,357587200.0,201506,ENLASA
10.0,10.0,10.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,201506,ENLASA
