revenue,net profit,operating profit,non-controlling profit,eps,operating-eps,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
376665958000.0,26835315000.0,,534995000.0,,,629200000.0,558959306000.0,,,415706245000.0,67569276000.0,,148793117000.0,220561691000.0,,19190920000.0,5571611000.0,46197144000.0,313002670000.0,605987436000.0,41156000.0,18771616000.0,,1230860889000.0,64461061000.0,476471357000.0,1543863559000.0,300656345000.0,917550119000.0,946578736.0,103230042000.0,946578736.0,21283908000.0,-32510623000.0,1755935000.0,,,415706245000.0,40361869000.0,2567135000.0,1670632000.0,145669000.0,109331782000.0,4357887000.0,,21289320000.0,1974591000.0,56794859000.0,201303,ANDINA
10.0,10.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,201303,ANDINA
4530219962400.0,192117511200.0,189500760800.0,83535248800.0,,,10053352000.0,4806237128000.0,22662088800.0,,4460467730400.0,58945068000.0,,1271208859200.0,3952946187200.0,232016515200.0,100357756800.0,-69271913600.0,981178366400.0,4850938558400.0,8798627759200.0,129155648000.0,195039574400.0,5783518400.0,12541814204000.0,143718235200.0,714127396800.0,17392752762400.0,2714377766400.0,5006676117600.0,456376483.0,1245698194400.0,456376483.0,183214953600.0,-108433015200.0,-9343480800.0,,,4460467730400.0,155883018400.0,24538664000.0,5356989600.0,-18274069600.0,1339829236800.0,,,244011596000.0,,,201303,ANTARCHILE
10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,201303,ANTARCHILE
114824128800.0,-4021340800.0,-4021340800.0,-73487200.0,,,,122653167200.0,,,122502404800.0,,,130680696800.0,110105796000.0,-2807665600.0,75002400.0,,28171356000.0,368595128000.0,372276306400.0,,3378138400.0,355314400.0,300054298400.0,44962802400.0,28394090400.0,668649426400.0,151935922400.0,289738816800.0,1157000000.0,61699701600.0,1157000000.0,3778908800.0,-7856312000.0,22506780800.0,,,122502404800.0,15058815200.0,,,-47728800.0,47420456800.0,,,3384956800.0,23729547200.0,,201303,AQUACHILE
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,201303,AQUACHILE
,-14126000.0,-14126000.0,,,,,,,,1164000.0,333000.0,,13150000.0,,-14126000.0,,,,,174740000.0,,,,577387000.0,,,577387000.0,174740000.0,402647000.0,1400000.0,,1400000.0,-1497000.0,,1497000.0,,,1164000.0,,,,,,,,,,3333000.0,201303,ATSA
12.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,12.0,10.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,201303,ATSA
30806288800.0,-2649327200.0,-2649327200.0,,,-0.002,,26334933600.0,,,39884609600.0,,,54894180800.0,43010467200.0,-4470597600.0,886392000.0,-788661600.0,2066732800.0,106690535200.0,156817139200.0,,595473600.0,487894400.0,107424649600.0,821996000.0,13538312000.0,214115184800.0,86979298400.0,57298045600.0,1403002444.0,24209865600.0,1910002444.0,-9286660800.0,-8865435200.0,8455573600.0,,,39884609600.0,1900818400.0,,,,12332970400.0,,,507592000.0,1559140800.0,708359030.4,201303,AUSTRALIS
10.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,AUSTRALIS
4217465000.0,-14624128000.0,-14624128000.0,,,,,,,,71446000.0,,,18074000.0,4511048000.0,-17924353000.0,,,325418000.0,596292000.0,83114576000.0,,,,191439370000.0,,3303000.0,192035662000.0,546363000.0,108921086000.0,40931700037.0,,40945048730.0,-73260000.0,4216957000.0,-3869895000.0,,,71446000.0,,,,,,,,7010000.0,318408000.0,,201303,AXXION
10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,201303,AXXION
5876419000.0,1016241000.0,1016241000.0,,,,,3220757000.0,,,3194442000.0,,,4450270000.0,3456432000.0,1270301000.0,745426000.0,,5966845000.0,10874628000.0,14036905000.0,,245433000.0,95619000.0,21522944000.0,,13243607000.0,32397572000.0,6575775000.0,18360667000.0,36520030.0,7944000.0,37520029.0,260130000.0,574632000.0,,,,3194442000.0,,,,,3355095000.0,544458000.0,,689419000.0,646864000.0,1414730728.0,201303,AZUL AZUL
10.0,10.0,10.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,201303,AZUL AZUL
,13322361000.0,13322361000.0,,,,29900000.0,,,,116670000.0,,,11637529000.0,,13342247000.0,,536318000.0,2983004000.0,14999401000.0,64756141000.0,,,,328104873000.0,,,343104274000.0,13934185000.0,278348133000.0,1430000000.0,,1430000000.0,-116670000.0,29900000.0,-263500000.0,,,116670000.0,,,,,,,,95867000.0,114824000.0,,201303,BANVIDA
12.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,201303,BANVIDA
82752048000.0,5277658000.0,5277658000.0,950741000.0,,,,88495020000.0,,,54962221000.0,2016608000.0,,59397551000.0,73253294000.0,6497878000.0,5956220000.0,,20662616000.0,225482299000.0,268597340000.0,4019028000.0,600560000.0,5122963000.0,231165486000.0,1581546000.0,21085992000.0,456647785000.0,146164544000.0,172147226000.0,572111164.0,71773036000.0,580000000.0,10088260000.0,-14942256000.0,8906765000.0,,,54962221000.0,19027712000.0,2068140000.0,783692000.0,,92153516000.0,,,4598002000.0,13181562000.0,,201303,BESALCO
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,201303,BESALCO
159703070000.0,16017777000.0,16017777000.0,9320000.0,188.1,188.1,,56035543696000.0,,,55853428526000.0,,,2871166495000.0,115415883000.0,20059989000.0,1422170000.0,,285913162000.0,4048647968000.0,5746023355000.0,2181098236000.0,99648918000.0,3790319000.0,2288965632000.0,23458943000.0,2719192000.0,6337613600000.0,3299171216000.0,591405582000.0,85087030.0,,85087030.0,86561039000.0,-13287787000.0,-9896231000.0,,,55853428526000.0,14159094000.0,724008000.0,,,1434184966000.0,,,225883536000.0,21577062000.0,14374738000.0,201303,BICECORP
10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,201303,BICECORP
70839388000.0,821996000.0,821996000.0,355314400.0,,,,79474512800.0,,,64680100000.0,4736515200.0,,56338166400.0,66918808000.0,1543988800.0,4903187200.0,,11058687200.0,181454291200.0,240646336800.0,7633577600.0,,,311426632000.0,1090186400.0,44291568800.0,492880923200.0,129368533600.0,246188180800.0,1238342900.0,46128748800.0,1238342900.0,2360681600.0,-5065313600.0,8224505600.0,,,64680100000.0,9203324800.0,826541600.0,,,27070563200.0,,,10954896000.0,,,201303,BLUMAR
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,201303,BLUMAR
5012060000.0,1899387000.0,1899387000.0,5127000.0,,,,5335473000.0,,,2706622000.0,,,4168215000.0,,2323835000.0,420478000.0,,8033556000.0,25950686000.0,16797126000.0,13663847000.0,134886000.0,355425000.0,22992820000.0,,2820854000.0,48943506000.0,5023260000.0,31961551000.0,48.0,,48.0,160053000.0,227473000.0,6059000.0,,,2706622000.0,2375646000.0,,,9457000.0,1904187000.0,,,1610272000.0,,1503592000.0,201303,BOLSASTGO
10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,201303,BOLSASTGO
,23693940000.0,23693940000.0,,,,,,,,387133600.0,540168800.0,,,,22676483200.0,,,53524440000.0,94971220800.0,326379383200.0,16464163200.0,,,912539806400.0,5206984800.0,,1007511027200.0,32765442400.0,681131644000.0,1936860177.0,,1936860177.0,-8444209600.0,-15152757600.0,-8382086400.0,,,387133600.0,356829600.0,,2272800.0,45456000.0,,,,278796800.0,,318949600.0,201303,CALICHERA
12.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,12.0,12.0,12.0,10.0,12.0,10.0,201303,CALICHERA
69219639200.0,-9408634400.0,-9408634400.0,-333344000.0,,,,104813960000.0,,,87380068800.0,,,70897723200.0,68631741600.0,-11805680800.0,6632030400.0,-3220557600.0,5462296000.0,191981900800.0,258756764800.0,226522400.0,7916920000.0,,303933210400.0,,39681572800.0,495915111200.0,207677100000.0,193307700800.0,4150672000.0,62884588000.0,4213880000.0,-270463200.0,-4706211200.0,-482591200.0,,,87380068800.0,15569437600.0,209855200.0,,-105306400.0,42115741600.0,,,5415324800.0,,15569437600.0,201303,CAMANCHACA
