revenue,net profit,operating profit,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
376665958000,26835315000,,629200000,558959306000,,,415706245000,67569276000,,148793117000,220561691000,,19190920000,5571611000,46197144000,313002670000,605987436000,41156000,18771616000,,1230860889000,64461061000,476471357000,1543863559000,300656345000,917550119000,946578736,103230042000,946578736,21283908000,-32510623000,1755935000,,,415706245000,40361869000,2567135000,1670632000,145669000,109331782000,4357887000,,21289320000,1974591000,56794859000,201303,ANDINA
0,0,2.0,0,0,2.0,2.0,0,0,2.0,0.0,0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0,201303,ANDINA
0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,201303,ANDINA
5979699000,253587000,250133000,13270000,6344030000,29913000,,5887629000,77805000,,1677942000,5217722000,306252000,132468000,-91436000,1295114000,6403034000,11613817000,170480000,257444000,7634000,16554665000,189702000,942618000,22957699000,3582864000,6608601000,456376483,1644269000,456376483,241836000,-143127000,-12333000,,,5887629000,205759000,32390000,7071000,-24121000,1768518000,,,322085000,,,201303,ANTARCHILE
0,0,0,0,0,0,2.0,0,0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,0,0,0.0,2.0,2.0,0.0,2.0,2.0,201303,ANTARCHILE
1,1,1,1,1,1,0.0,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,1,0.0,0.0,201303,ANTARCHILE
151563000,-5308000,-5308000,,161897000,,,161698000,,,172493000,145335000,-3706000,99000,,37185000,486530000,491389000,,4459000,469000,396059000,59349000,37479000,882589000,200549000,382443000,1157000000,81441000,1157000000,4988000,-10370000,29708000,,,161698000,19877000,,,-63000,62593000,,,4468000,31322000,,201303,AQUACHILE
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,2.0,2.0,0,0.0,2.0,2.0,0.0,0.0,2.0,201303,AQUACHILE
1,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,1,0.0,1,1,1,0.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,201303,AQUACHILE
,-14126000,-14126000,,,,,1164000,333000,,13150000,,-14126000,,,,,174740000,,,,577387000,,,577387000,174740000,402647000,1400000,,1400000,-1497000,,1497000,,,1164000,,,,,,,,,,3333000,201303,ATSA
2.0,0,0,2.0,2.0,2.0,2.0,0,0,2.0,0.0,2.0,0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2.0,0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,201303,ATSA
0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201303,ATSA
40663000,-3497000,-3497000,,34761000,,,52646000,,,72458000,56772000,-5901000,1170000,-1041000,2728000,140827000,206992000,,786000,644000,141796000,1085000,17870000,282623000,114809000,75631000,1403002444,31956000,1910002444,-12258000,-11702000,11161000,,,52646000,2509000,,,,16279000,,,670000,2058000,935004,201303,AUSTRALIS
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0,201303,AUSTRALIS
1,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,1,1,1,201303,AUSTRALIS
4217465000,-14624128000,-14624128000,,,,,71446000,,,18074000,4511048000,-17924353000,,,325418000,596292000,83114576000,,,,191439370000,,3303000,192035662000,546363000,108921086000,40931700037.00,,40945048730.00,-73260000,4216957000,-3869895000,,,71446000,,,,,,,,7010000,318408000,,201303,AXXION
0,0,0,2.0,2.0,2.0,2.0,0,2.0,2.0,0.0,0,0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,201303,AXXION
0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,201303,AXXION
5876419000,1016241000,1016241000,,3220757000,,,3194442000,,,4450270000,3456432000,1270301000,745426000,,5966845000,10874628000,14036905000,,245433000,95619000,21522944000,,13243607000,32397572000,6575775000,18360667000,36520030,7944000,37520029,260130000,574632000,,,,3194442000,,,,,3355095000,544458000,,689419000,646864000,1414730728,201303,AZUL AZUL
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0,201303,AZUL AZUL
0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,201303,AZUL AZUL
,13322361000,13322361000,29900000,,,,116670000,,,11637529000,,13342247000,,536318000,2983004000,14999401000,64756141000,,,,328104873000,,,343104274000,13934185000,278348133000,1430000000,,1430000000,-116670000,29900000,-263500000,,,116670000,,,,,,,,95867000,114824000,,201303,BANVIDA
2.0,0,0,0,2.0,2.0,2.0,0,2.0,2.0,0.0,2.0,0,2.0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,201303,BANVIDA
0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,201303,BANVIDA
82752048000,5277658000,5277658000,,88495020000,,,54962221000,2016608000,,59397551000,73253294000,6497878000,5956220000,,20662616000,225482299000,268597340000,4019028000,600560000,5122963000,231165486000,1581546000,21085992000,456647785000,146164544000,172147226000,572111164,71773036000,580000000,10088260000,-14942256000,8906765000,,,54962221000,19027712000,2068140000,783692000,,92153516000,,,4598002000,13181562000,,201303,BESALCO
